Time Taken 1,Time Taken 2,Time Taken 3,Time Taken 4,Time Taken 5,Time Taken 6,Time Taken 7,Time Taken 8,Time Taken 9,Time Taken 10,Time Taken 11,Time Taken 12,Time Taken 13,Time Taken 14
0,0,0,0.001036644,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.001006842,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.001512051
0,0,0,0,0,0,0,0.00096941,0,0,0,0,0,0
0,0,0,0.000957012,0,0,0,0,0.001013756,0,0,0,0,0
0,0.001000166,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.000997782,0,0,0,0.001013279,0,0,0,0.000985384,0.000993967,0,0
0.00100112,0,0,0,0,0,0,0.001001596,0,0,0,0,0,0.001009226
0,0.001032829,0,0.000995636,0,0,0,0.000999212,0,0.000995874,0,0,0.000999212,0
0.000999212,0,0.00099802,0,0.00101161,0,0,0.003056526,0,0,0.001013517,0.001010418,0,0.001000166
0,0.000977039,0,0.000996828,0,0,0.001021385,0.000998497,0,0.001000404,0.001000166,0,0.00101018,0
0.001003027,0.000996828,0.000999689,0.001001835,0,0.00099659,0.000989437,0.001014471,0.000999928,0.000999689,0,0.001012087,0.001001596,0.001069069
0.000997543,0.001010418,0.000999451,0.001010418,0.00098896,0.001000404,0.001000404,0.00099659,0,0.001003265,0.00052166,0.001000404,0.000989199,0.000994205
0,0.001000166,0.001505613,0.001013279,0.001010895,0.000999212,0.000998974,0.001000643,0.001027584,0.000995874,0.001018286,0.000999212,0.001008987,0.002000093
0.002035618,0.000549555,0.001504183,0.001552582,0.001999378,0.001631498,0.002008438,0.002004862,0.001235247,0.001505613,0.002002716,0.00199461,0.001013517,0.001005888
0.002037048,0.002562761,0.001004696,0.001021147,0.001013517,0.001522303,0.001531124,0.001997471,0.00299716,0.001518726,0.002004385,0.001006365,0.002003193,0.001991749
0.002001286,0.002031803,0.00200367,0.002013922,0.001522303,0.002032518,0.002099752,0.001516104,0.00301218,0.002007008,0.001996756,0.001531601,0.003222227,0.002095938
0.003000498,0.001983166,0.003007412,0.001986027,0.003535748,0.002999306,0.002013683,0.002015114,0.001517773,0.002007008,0.002577782,0.004027605,0.002998114,0.003519297
0.002551079,0.002995253,0.002497435,0.00300622,0.003014326,0.001992702,0.003000021,0.005010605,0.003556252,0.001973867,0.002948284,0.00300169,0.002995491,0.003000736
0.003548145,0.003097296,0.003512621,0.002595425,0.002007961,0.004089355,0.003019094,0.004072666,0.005594015,0.003025055,0.002992153,0.003117561,0.002971411,0.002506018
0.004006386,0.003514528,0.003006458,0.004010439,0.004114866,0.00299859,0.003550768,0.003999472,0.003958225,0.004009247,0.003527164,0.003959656,0.002992868,0.003519297
0.003679752,0.00350523,0.005005598,0.003537655,0.004012346,0.004536629,0.003977537,0.007078886,0.00399828,0.004522324,0.004016876,0.003994942,0.003959656,0.003003597
0.004964113,0.004525423,0.00501895,0.005125284,0.005075455,0.004245281,0.004039049,0.005509853,0.007043362,0.005556822,0.004629374,0.005109072,0.005014181,0.004575014
0.006112099,0.005507946,0.005010366,0.005456448,0.005018473,0.005567551,0.006004333,0.005148888,0.005027771,0.00601244,0.004958868,0.004986525,0.005068779,0.003994465
0.006022692,0.005517721,0.006007671,0.006188154,0.005615711,0.005550861,0.005161762,0.007061958,0.006037235,0.006007671,0.006518602,0.00756216,0.005992413,0.007098198
0.006592751,0.006520033,0.007038832,0.006616592,0.005986929,0.006906509,0.005537033,0.006006002,0.007653475,0.007122993,0.006019115,0.007510424,0.007044554,0.007319212
0.008112669,0.008019447,0.008015871,0.008120537,0.008111,0.009317875,0.00855875,0.00802207,0.008061647,0.007292271,0.00951004,0.007537127,0.008057594,0.008563519
0.009104967,0.008519888,0.007512331,0.008120537,0.007958651,0.008599758,0.008096218,0.009022236,0.009041786,0.008526325,0.008556843,0.007996082,0.00812006,0.00852704
0.009591103,0.009025335,0.010027409,0.010022402,0.009127617,0.008913517,0.01012826,0.011013269,0.00913763,0.009521723,0.011748791,0.010534048,0.01228404,0.010056734
0.011144876,0.011039019,0.010040045,0.010635138,0.010138988,0.013373375,0.010604382,0.010032177,0.012037277,0.011928082,0.010548353,0.012071848,0.011047125,0.010732651
0.013092279,0.011059284,0.012565613,0.012126446,0.011635542,0.012853146,0.013075829,0.011777401,0.012053251,0.014042377,0.012149811,0.011042356,0.011666059,0.011658907
0.013688326,0.011604786,0.01206708,0.014117002,0.012092113,0.012045145,0.016634703,0.014015198,0.012699366,0.014017582,0.014549732,0.014048815,0.013744593,0.014169931
0.01514411,0.013560534,0.015657902,0.01513195,0.013514519,0.014925718,0.014354706,0.015102863,0.015907288,0.015560865,0.016099215,0.016098738,0.015035629,0.014144897
0.01718235,0.015652657,0.015737772,0.015579939,0.014792204,0.016909838,0.017596245,0.017208099,0.018220186,0.01567626,0.015542269,0.015653849,0.017417192,0.015977383
0.018690109,0.015703201,0.018068075,0.018222332,0.016659498,0.019726276,0.019258976,0.019678354,0.018814325,0.018340588,0.016112089,0.016580582,0.019699335,0.016118288
0.020394325,0.01824522,0.018721104,0.019803047,0.018231392,0.018648148,0.018017769,0.02209425,0.019163847,0.019741774,0.01867342,0.018718004,0.024416208,0.018924236
0.019865751,0.019210339,0.019249439,0.021201611,0.032811642,0.022728205,0.019071579,0.020896673,0.021227121,0.021137238,0.020075798,0.020788193,0.023123026,0.020118475
0.024154186,0.022166252,0.021776199,0.023139954,0.036372185,0.02199769,0.023249149,0.02274251,0.024721622,0.024695158,0.021043062,0.022897005,0.024113417,0.022873402
0.023304701,0.023742199,0.023198843,0.026736498,0.030419588,0.028817654,0.027036428,0.02617383,0.024297237,0.024357557,0.02410078,0.023993492,0.026140928,0.025970697
0.028452158,0.024726629,0.024787188,0.025851011,0.030365229,0.029166937,0.027793646,0.028096676,0.034276485,0.028839827,0.026662111,0.026243925,0.032250166,0.027998686
0.029272795,0.029308796,0.02778697,0.029238224,0.028148413,0.031177044,0.028948069,0.03098774,0.034647226,0.033844948,0.027203083,0.029613018,0.032253027,0.029975653
0.033107042,0.030094624,0.029791594,0.031850338,0.029865503,0.031812429,0.031095505,0.03122282,0.037360668,0.039988518,0.036657572,0.032632589,0.036807775,0.034387827
0.036582947,0.031654119,0.031695843,0.03339839,0.037489891,0.033980608,0.03658247,0.0353508,0.034397602,0.033780336,0.032146931,0.034205437,0.032335758,0.037809849
0.039957762,0.034155607,0.034932852,0.036442041,0.039305925,0.035221577,0.037098646,0.039408684,0.036916494,0.038383961,0.036110878,0.034996033,0.042847395,0.042211533
0.043913364,0.037618637,0.037241936,0.040354967,0.038330317,0.040187359,0.040032148,0.039986849,0.039447308,0.036845684,0.043532372,0.038748264,0.040205956,0.040695429
0.04693985,0.039934397,0.039420605,0.043773413,0.041968584,0.043443918,0.044291973,0.042761326,0.044990063,0.043207884,0.046294451,0.042860985,0.045263052,0.043465853
0.047998905,0.043622732,0.04332757,0.048205614,0.044207811,0.047236204,0.044616938,0.045486689,0.045695305,0.04502058,0.045351267,0.04404068,0.044165611,0.047866106
0.050052166,0.045626402,0.045668602,0.048776627,0.046519518,0.047774792,0.046590805,0.04820776,0.050161839,0.047716856,0.046756268,0.047972679,0.047008514,0.0489645
0.058057547,0.050719261,0.050015211,0.052359581,0.050298929,0.055864334,0.050955772,0.053216219,0.05431819,0.056219101,0.048366547,0.052343369,0.054948807,0.052667618
0.057706118,0.052218914,0.055993795,0.058635235,0.052088022,0.059044838,0.056815147,0.058057547,0.056616783,0.053682089,0.057697058,0.053766966,0.053901911,0.055423021
0.061320782,0.056162596,0.058065176,0.060162783,0.056548834,0.06097126,0.060090065,0.063746452,0.05984807,0.0601511,0.057263851,0.056225061,0.063231707,0.061847448
0.072317123,0.062147379,0.061998129,0.066658258,0.062305212,0.064835548,0.060647249,0.06486249,0.069046974,0.060454369,0.063663483,0.062737703,0.061820745,0.064154625
0.075423717,0.074579954,0.071116686,0.067282915,0.064807177,0.069426775,0.068608761,0.068163157,0.0715909,0.069890499,0.066013098,0.068252325,0.066917181,0.066730738
0.073831081,0.068469286,0.068127871,0.073928118,0.067903996,0.074865818,0.075343847,0.073158026,0.073234081,0.076815128,0.070386887,0.071634054,0.075755358,0.06925106
0.079464674,0.071980238,0.072679996,0.07647419,0.073240042,0.075463772,0.076100349,0.079504967,0.07833147,0.083459616,0.074225187,0.077872992,0.081493616,0.076173306
0.081929445,0.081228971,0.079685926,0.080878735,0.077276707,0.084885836,0.083905935,0.079668522,0.085649729,0.078855515,0.07895565,0.080868006,0.083934307,0.0842309
0.088173151,0.081864119,0.086435556,0.088622093,0.082630396,0.09198451,0.086887598,0.081058264,0.091337204,0.083487988,0.082487106,0.0865376,0.089067936,0.091571331
0.091188431,0.085951805,0.086538315,0.093267202,0.089388371,0.092526674,0.090092421,0.101722717,0.097815037,0.092791557,0.08948946,0.089990854,0.090055943,0.089798212
0.098496675,0.092263222,0.091822624,0.100828648,0.09271574,0.10090518,0.098207712,0.102915287,0.100968599,0.100088358,0.094255209,0.094670773,0.100991488,0.096068621
0.107279062,0.097076416,0.097989082,0.104407072,0.099989176,0.104771614,0.102666378,0.103813887,0.099951982,0.103295803,0.098480463,0.100864887,0.106406212,0.104500055
0.111137867,0.103243351,0.103766203,0.104371548,0.111170053,0.114387989,0.12373209,0.11325264,0.112311602,0.105355978,0.103188992,0.104877949,0.105159521,0.125609875
0.117046118,0.108683825,0.107266903,0.122285843,0.114489794,0.120411873,0.122747421,0.115119457,0.113868952,0.113228321,0.117055178,0.112393141,0.114516735,0.121517897
0.127004147,0.11651969,0.115267515,0.13027072,0.120385885,0.131291866,0.122653723,0.11929512,0.115773916,0.115961075,0.118900061,0.122268438,0.118220329,0.120980024
0.126779318,0.121857643,0.121701717,0.130555391,0.121749163,0.135077477,0.12584424,0.25145793,0.12965703,0.127879858,0.131827831,0.128823757,0.12801218,0.127298117
0.134474277,0.127992392,0.128413677,0.136359453,0.128353596,0.145062208,0.129965067,0.178386211,0.135652065,0.128124237,0.149660826,0.137542725,0.134656906,0.13306284
0.142743349,0.134187698,0.135950565,0.142689228,0.135758877,0.144612074,0.142580271,0.151643991,0.14269352,0.139674664,0.148599148,0.137953997,0.166105509,0.144311428
0.157289982,0.141510963,0.142284393,0.151279211,0.142622948,0.153175354,0.143959522,0.15088439,0.151091576,0.144378662,0.154275894,0.149160147,0.153138638,0.148788452
